Height,Weight
180,68
178,67
192,85
180,78
162,48
183,83
168,59
160,60
182,68
172,60
163,67
175,74
163,68
182,61
179,75
174,65
182,81
178,70
159,50
157,41
175,64
175,65
178,67
179,72
189,80
180,65
182,92
165,70
178,75
155,57
178,70
182,71
178,80
180,77
183,72
179,74
170,68
165,52
185,70
162,51
170,65
174,70
190,82
178,68
163,50
170,57
180,77
189,83
180,68
175,66
167,61
167,56
173,74
172,73
175,75
175,65
165,63
180,70
173,60
165,64
163,57
169,62
162,50
169,56
178,67
163,58
184,73
172,71
169,56
176,76
164,66
178,78
166,52
173,67
187,89
181,86
199,90
190,89
169,77
179,68
184,79
187,78
175,70
176,71
179,82
161,58
178,78
178,66
169,70
179,73
175,60
177,78
169,60
175,70
178,74
177,60
184,80
180,80
175,66
175,65
184,112
156,54
173,60
192,93
186,66
180,76
169,63
171,64
172,63
180,66
193,73
182,82
185,75
177,63
170,64
173,60
192,86
